Thenglish,English,Hindi
aval purinjikka matten,she doesn’t understand,वह नहीं समझती
varuven paaren,"I will come, wait and see","मैं आऊँगा, देखना"
kaala neram,long time,लंबा समय
munnadi,before,पहले
marupadi,again,फिर से
podhuma kaalathil,in the future,भविष्य में
mazhai,rain,बारिश
kaathu,wind,हवा
katri,summer,गर्मी
kulir,cold,ठंड
aadi,beginning,शुरुआत
udambu,body,शरीर
noi,disease,रोग
saaram,strength,शक्ति
vali,pain,दर्द
marundhu,medicine,दवाई
seri,fine,ठीक
romba nandri,thank you very much,बहुत धन्यवाद
neenga eppadi irukeenga?,how are you?,आप कैसे हैं?
unga veedu evlo periya?,how big is your house?,आपका घर कितना बड़ा है?
ethana thadavai?,how many times?,कितनी बार?
enakku theriyadhu,I don’t know,मुझे नहीं पता
neenga endha ooru?,which place are you from?,आप कहां से हैं?
enna paarkiraai?,what are you looking at?,तुम क्या देख रहे हो?
iravu,night,रात
pagal,day,दिन
kattil,bed,बिस्तर
koodal,meeting,बैठक
madhi,moon,चांद
vilakku,lamp,दीपक
saathukudi,sweet lime,मौसंबी
ellu,sesame,तिल
paruppu,lentils,दाल
thayir sadam,curd rice,दही चावल
pongal,rice pudding,चावल खीर
raajaveethi,main street,मुख्य सड़क
sandhu,corner,कोना
viduthi,lodge,लॉज
nadhi,river,नदी
mugangal,faces,चेहरे
sirippu,smile,मुस्कान
soga vaedhanai,grief,दुख
anbu,love,प्रेम
vegam,hurry,जल्दी
adhaipaarthu,observe that,उसे देखो
manadhirku,for the heart,दिल के लिए
velli,silver,चांदी
karpanai,imagination,कल्पना
pakkathil irukkum,will be nearby,पास होगा
parai,drum,ढोल
enakku theriyum,I know,मुझे पता है
konjam neram,a little time,थोड़ा समय
eppadi seiyyalam?,how to do?,कैसे करना है?
neenga yaar?,who are you?,आप कौन हैं?
kaathirunthen,I waited,मैंने इंतजार किया
pudhiya idam,new place,नया स्थान
sariyana samayam,right time,सही समय
thunai irundhaal,if there is support,अगर सहायता हो
nalla natkal,good days,अच्छे दिन
mudhal mudivu,first decision,पहला निर्णय
pudhu varusham vazhthukkal,happy new year,नया साल मुबारक हो
kannuku kattudhal,blessing to the eyes,आँखों के लिए आशीर्वाद
ungaludan sandhitha piragu,after meeting you,आपसे मिलने के बाद
pirivu illaadha uravugal,unbreakable relationships,अटूट संबंध
ungal per sollungo,please tell your name,कृपया अपना नाम बताएं
yendha kaaranathil?,for what reason?,किस कारण से?
mudhal muraiya?,for the first time?,पहली बार के लिए?
ippadi nadakkuma?,will it happen this way?,क्या ऐसा होगा?
appo yen solleeteenga?,then why didn’t you say?,फिर आपने क्यों नहीं कहा?
ithu eppadi nadandhadhu?,how did this happen?,यह कैसे हुआ?
megam,cloud,बादल
muthirai,stamp,डाक टिकट
vizhigal,eyes,आँखें
kani,fruit,फल
veedu,house,घर
vellam,water,पानी
sudar,light,प्रकाश
manitham,humanity,मानवता
vadai,fritter,वड़ा
pachai milagai,green chili,हरी मिर्च
appalam,papad,पापड़
medai,stage,मंच
nilayam,station,स्टेशन
puram,outside,बाहर
manal,sand,रेत
azhugai,crying,रोना
veguli,anger,गुस्सा
udal,body,शरीर
vizhiyal,with eyes,आँखों से
valimai,strength,शक्ति
adhigam,more,ज्यादा
kurai,less,कम
muthal,first,पहला
kadamai,duty,कर्तव्य
koduthal,to give,देना
alaivu,wave,लहर
kalvi,education,शिक्षा
oru vaari solren,I will say once,मैं एक बार कहूंगा
sathiyam seyyungal,swear it,इसे कसम खाएं
thirudan,thief,चोर
kadavul,god,भगवान
oru nimisham,one minute,एक मिनट
sollu enna seyyanum?,tell me what to do?,मुझे बताओ क्या करना है?
athuvum kadandhupochu,that too has passed,वह भी गुजर गया
enna seyyum podhu?,what do you do now?,अब आप क्या करेंगे?
intha kaaranathukaga,for this reason,इस कारण से
ulagam sutrum,travel the world,दुनिया का दौरा
oru idathil irundhaalum,even if you are in one place,अगर आप एक ही जगह पर हों
nalladhu nadakkum,good things will happen,अच्छी चीजें होंगी
nal vaazhtukkal,best wishes,शुभकामनाएँ
kavalai illa,no worries,चिंता मत करो
periya anbu,great love,बड़ा प्यार
varuga en vaasalukku,come to my doorstep,मेरे दरवाजे पर आओ
ungaluku epdi irukku?,how are you?,आप कैसे हैं?
adhukku enna artham?,what does that mean?,उसका मतलब क्या है?
kekka koodadhaa?,should I not ask?,क्या मुझे नहीं पूछना चाहिए?
indha velaiya yar seyyum?,who will do this work?,यह काम कौन करेगा?
intha neram enna seyyalam?,what can be done at this time?,इस समय क्या किया जा सकता है?
naalai enna seyyuveer?,what will you do tomorrow?,आप कल क्या करेंगे?
natchathiram,star,तारा
velicham,brightness,चमक
nilavu,moon,चाँद
vaanam,sky,आकाश
idiyappam,string hoppers,इडियप्पम
poriyal,stir fry,तलना
nadappu vazhi,walking path,पैदल चलने का रास्ता
vetti kudumbam,small house,छोटा घर
nagarathin pakkathil,near the city,शहर के पास
puthu vithaanam,new way,नया तरीका
soolai,corner,कोना
sogam,sadness,दुःख
paavam,pity,दया
sirithu,laugh,हँसना
marandhuttaen,I forgot,मैं भूल गया
viruppam,preference,पसंद
thiruppu,turn,मुड़ना
vidhai,seed,बीज
uravu,relationship,रिश्ता
punitham,pure,शुद्ध
irudhi,end,अंत
sollavaenum,should be said,कहा जाना चाहिए
kaathirundhen,I waited,मैं इंतजार कर रहा था
azhagaaga irukku,looks beautiful,सुंदर दिख रहा है
kaatchi tharum,it will show,यह दिखाएगा
valiya illama,without pain,दर्द के बिना
ennai konjam thalli vidu,move me aside,मुझे थोड़ा हटा दो
ungal aasai enna?,what is your wish?,आपकी इच्छा क्या है?
pirakkum munne therinjukonga,know before you are born,जन्म लेने से पहले जान लो
vazhi kaatunga,show the way,रास्ता दिखाओ
adhukku mel,beyond that,उसके ऊपर
mudinthaal sariyaaga nadakkum,"if it ends, it will happen properly","अगर यह खत्म हो जाता है, तो यह ठीक से होगा"
naal nalla irukattum,have a good day,आपका दिन शुभ हो
podhum solludhu,that’s enough,"बस, काफी है"
kavala padatheenga,don’t worry,चिंता मत करो
sariyana murai,proper way,सही तरीका
intha vazhiya?,is this the way?,क्या यह सही रास्ता है?
edharku ippo?,why now?,अभी क्यों?
enakku seyyavendumaa?,should I do it?,क्या मुझे यह करना चाहिए?
thappu seyyitayaa?,did I make a mistake?,क्या मैंने गलती की?
vazhiya sollunga,show the way,रास्ता बताओ
seyal,action,क्रिया
sattam,law,कानून
nilam,land,भूमि
eriyum,fire,आग
katru,wind,हवा
paravai,bird,पक्षी
udayavargal,people,लोग
thengaai,coconut,नारियल
vendhaya keerai,fenugreek leaves,मेथी के पत्ते
manga,mango,आम
sundal,legume snack,दाल का नाश्ता
thottathin pakkathil,beside the garden,बगीचे के पास
nagarathin nagaram,the city of cities,शहरों का शहर
kadalin arugil,near the sea,समुद्र के पास
vedikkai,view,दृश्य
nilathil tharai,ground level,जमीन का स्तर
thanimai,loneliness,अकेलापन
uruthi,confidence,आत्मविश्वास
pirivu,separation,विभाजन
siththi,mind,मन
uthavi,help,मदद
vedikkai padam,interesting scene,दिलचस्प दृश्य
siragai virithu,spread your wings,अपने पंख फैलाओ
adi murai,rule of law,कानून का शासन
kattu maram,wooden pole,लकड़ी का खंभा
payanpaduthal,to use,उपयोग करना
muthirai seyyum,to stamp,मुद्रित करना
avanga enga?,where are they?,वे कहाँ हैं?
innum velai mudiyala?,is the work not done yet?,काम अभी तक पूरा नहीं हुआ?
vayasaanavargal,elderly people,बुजुर्ग लोग
sandhikka mudiyaadhu,unable to meet,मिल नहीं सकते
inimel enna?,what next?,अब क्या?
parava illai,no problem,कोई बात नहीं
kai kodungal,give me your hand,अपना हाथ दो
kettadhum puriyuthu,understood upon hearing,सुनकर समझ में आ गया
pudhu vithi kattangal,new rules,नए नियम
mudhal muraiyaaga,for the first time,पहली बार के लिए
neenga engeyo poittu irukeenga,you’ve gone far away,आप बहुत दूर चले गए हैं
suththamaana vazhakku,a clean habit,साफ आदत
thunai irundhaal nalladhu,it’s good to have support,सहायता होना अच्छा है
kidaikkaatha porul,something you can’t get,जो आपको नहीं मिल सकता
ungal vazhigalil vetri,success in your path,आपके मार्ग में सफलता
innum konjam thollai,a little more trouble,थोड़ी और परेशानी
oru sandhippu thevai,need a meeting,एक मुलाकात की जरूरत है
ini epdi seyyalaam?,what should we do now?,अब क्या करना चाहिए?
oru velai puriyuma?,will it be understood?,क्या यह समझ में आएगा?
velaiya mudichiteengalaa?,did you finish the work?,क्या आपने काम खत्म किया?
idhu sariyaa irukka?,is this correct?,क्या यह सही है?
konjam neram iruka?,do you have some time?,क्या आपके पास थोड़ा समय है?
irumbu,iron,लोहा
pon,gold,सोना
karaigal,shores,किनारे
puyal,storm,तूफान
andhi,evening,शाम
then,honey,शहद
paathiram,vessel,बर्तन
vidudhalai,freedom,स्वतंत्रता
inji,ginger,अदरक
malli thool,coriander powder,धनिया पाउडर
keerai,greens,हरी पत्तियां
karuveppilai,curry leaves,करी पत्ते
kizhakku pakkam,towards the east,पूर्व दिशा की ओर
mela pakkam,towards the west,पश्चिम दिशा की ओर
sirandha idam,best place,सर्वश्रेष्ठ स्थान
arai thunai,halfway assistance,आधा सहारा
kadalin pakuthi,part of the sea,समुद्र का हिस्सा
thunbam,sadness,दुख
veesum katru,blowing wind,हवा चल रही है
kaathiruppu,waiting,इंतजार
thunivu,courage,साहस
oorgal,villages,गाँव
sandhai,market,बाज़ार
ninaivu,memory,स्मृति
kanniyam,virginity,कौमार्य
muthal ezhuthu,first letter,पहला अक्षर
nadandhaal,if it happens,यदि यह होता है
kadhal mannan,king of love,प्यार का राजा
parisu,prize,इनाम
innum oru murai,one more time,एक और बार
sariyana valiyil,in the right way,सही तरीके से
kaasu kedaikkuma?,can I get money?,क्या मुझे पैसे मिल सकते हैं?
oru ulagathil,in one world,एक दुनिया में
neram poranthu varum,the time will come,समय आएगा
pozhudhu pogum,time will pass,समय बीतेगा
eppothum nalladhu nadakkum,good things will always happen,अच्छी चीजें हमेशा होंगी
pudhiya aalugal,new people,नए लोग
kaathirundhaal vetri kidaikkum,"if you wait, you will get success",यदि आप प्रतीक्षा करेंगे तो सफलता मिलेगी
oru periya porattam,a big struggle,एक बड़ा संघर्ष
neenga podum padam,the movie you are going to play,आप जो फिल्म चलाने जा रहे हैं
namakku vetri kidaithidum,we will achieve success,हमें सफलता मिलेगी
manidha kaadhal,human love,मानव प्रेम
sandhanam sollunga,share your feelings,अपने भावनाएँ साझा करें
nambikkai irundhaal,if there is trust,यदि विश्वास है
ithu unmaiyaana pechu,this is true talk,यह सच है
kolgai illama,without hesitation,बिना हिचकिचाहट के
yennai kasakkira?,who is troubling me?,मुझे कौन परेशान कर रहा है?
athu yaaridam irukku?,who does that belong to?,यह किसका है?
yengal pakkam varuvaara?,will they come to us?,क्या वे हमारे पास आएंगे?
ithu enna sathiyam?,what is the truth here?,यहाँ सच क्या है?
unnai enna solven?,what will I tell you?,मैं तुम्हें क्या कहूँ?
azhagiya magan,handsome boy,सुंदर लड़का
azhagiya magal,beautiful girl,सुंदर लड़की
aruvi,waterfall,जलप्रपात
kavi,poet,कवि
thunaiyaga irundhaal,if you are with support,यदि आप समर्थन के साथ हैं
kolukki saru,boiled rice,उबला हुआ चावल
kothu sambar,mixed sambar,मिक्स सांभर
idli milagai podi,idli spice powder,इडली मसाला पाउडर
kuruma,curry,करी
puliogare,tamarind rice,इमली चावल
pattai,road,रास्ता
thotam,garden,बाग
angadi,shop,दुकान
sitridai,opposite,विपरीत
niraiva,calmness,शांति
thunai kaaraigal,supportive people,समर्थन देने वाले लोग
iraivan,god,भगवान
solluviradha santhosham,joy of speaking,बोलने की खुशी
vidhi,fate,किस्मत
valimaiyaaga,as strength,शक्ति के रूप में
vazhkkai,life,जीवन
kolakattai,handcraft,हाथ से बना सामान
seythu kolvathu,to perform,करना
kattiya kadhaigal,bonded stories,बंद कहानियाँ
oru paathai kaetta,asked for a way,रास्ते के लिए पूछा
idhai thodarum,continue this,इसे जारी रखें
koodiya porul,combined thing,संयुक्त चीज
naalaikku varaikkum,until tomorrow,कल तक
mudhal murai,first time,पहली बार
koodiya nadakkum,will happen together,साथ में होगा
pagaithal seyyum,will do the best,सर्वश्रेष्ठ करेंगे
athukku munnaadi,before that,उससे पहले
varaiyilum thudikkum,will bring changes,परिवर्तन लाएंगे
saththiyum sathiyum,truth and reality,सच और वास्तविकता
thunaiyaga vaikkai,supporting role,समर्थक भूमिका
anbu kaadhal,loving affection,प्रेमपूर्ण स्नेह
ungal avasiyam,your need,आपकी जरूरत
naalum naan,even I,मैं भी
ithu enakku pidikkum,I like this,मुझे यह पसंद है
ithu thaan enakku venum,this is what I want,यह वही है जो मैं चाहता हूँ
yennai enna solva,what will you tell me?,आप मुझे क्या बताने वाले हैं?
ithu enna kadhandhu,what happened here?,यहाँ क्या हुआ?
neenga enna nadathuveenga?,what will you do?,आप क्या करेंगे?
ithai anupavikkiraen,I am experiencing this,मैं इसका अनुभव कर रहा हूँ
silai,statue,प्रतिमा
soppai,leaf,पत्ता
manimagal,gem,रत्न
urai,speak,बोलना
kanni tharu,offer,प्रस्ताव देना
kothu idli,chopped idli,कटी इडली
pattai satham,fried rice,तले हुए चावल
kadai podi,pan powder,कढ़ाई पाउडर
saapiduven,I will eat,मैं खाऊंगा
pasumpon,green curry,हरी करी
uriya idam,available place,उपलब्ध स्थान
vidu,exit,निकास
sirukki,small lane,छोटी गली
veedhi maari,turn at the street,गली में मुड़ें
manaiyil irukkum,to be at home,घर पर होना
piravi,birth,जन्म
iruppu,existence,अस्तित्व
manam,heart,दिल
niraivu,fullness,पूर्णता
ozhivu,absence,अनुपस्थिति
sillai,small size,छोटा आकार
thodanguthal,beginning,शुरुआत
variyam,capability,क्षमता
kodiyaal,with a smile,मुस्कान के साथ
paadal,song,गाना
oru aayiram,one thousand,एक हजार
ennai maarum,will change me,मुझे बदलेगा
oru thadava solven,I will say once,मैं एक बार कहूँगा
eppadi irundhaalum,no matter how,कोई फर्क नहीं पड़ता
athu aayiram,that is a thousand,वह एक हजार है
itha paatha varaikaga,to see this,यह देखने के लिए
enakku venum enna,what I need,मुझे क्या चाहिए
aagum eppadi,how will it be?,यह कैसे होगा?
unnai paarthu irukken,I am watching you,मैं तुम्हें देख रहा हूँ
unga kaditham,your message,आपका संदेश
oru mudhal aayiram,one first thousand,एक पहला हजार
neenga vaazhthukkal,you are congratulated,आपको बधाई दी जाती है
anbu paadham,song of love,प्रेम का गीत
aval enna solra,what does she say?,वह क्या कहती है?
idhu enna porul,what is this material?,यह सामग्री क्या है?
unakku eppadi theriyum?,how do you know?,आपको कैसे पता?
ithu enna kaalam,what time is this?,यह कौन सा समय है?
unga puthumai enna,what is your opinion?,आपकी राय क्या है?
itha seyyum podhu enna?,what happens when you do this?,जब आप ऐसा करते हैं तो क्या होता है?
neenga enna paatha?,what did you see?,आपने क्या देखा?
vaazhai,banana,केला
anaiyaram,one hundred,एक सौ
kottaiyil,fortress,किला
varam,gift,उपहार
kudi,people,लोग
suthaiyiruppu,being cautious,सावधान रहना
thakali satham,tomato rice,टमाटर चावल
therikkum,to be known,जानने के लिए
poongodi,flower,फूल
velaiyin sathiyam,works reality,काम की वास्तविकता
oru manidhanai kaanathu,to see a human,एक इंसान को देखना
vilayattu manai,playground,खेल का मैदान
kolai nadam,murder place,हत्या स्थल
kurinji veedu,cottage,झोपड़ी
ilamai thottam,youth garden,युवा बाग
maayam,wonder,अचंभा
sollai,to say,कहना
kanmani,beloved,प्रिय
maatrangal,changes,परिवर्तन
manam pudikuthu,heart feels,दिल को महसूस होता है
vaikalpikkum,to provide options,विकल्प प्रदान करना
koodi nadakum,will happen together,साथ में होगा
viduthalai,freedom,स्वतंत्रता
thodaiyil,in the tradition,परंपरा में
oru eduthal,one example,एक उदाहरण
vazhkaiyil varutham,sorrow in life,जीवन में दुःख
thodanguthal enna,what is starting?,शुरुआत क्या है?
seyyum tholainilai,do the situation,स्थिति करें
thayir satham,buttermilk rice,छाछ चावल
enna naan solla pogirain,what am I going to say?,मैं क्या कहने जा रहा हूँ?
seyyalaam ithu,this can be done,यह किया जा सकता है
paadhaiyai varum,path that comes,जो रास्ता आता है
manithan aniyathai,the human feeling,इंसानी भावना
panikkanum,must work,काम करना चाहिए
aarambikkum vaarthai,words of beginning,शुरुआत के शब्द
thodarbu seyyum,to continue,जारी रखना
ungal udaiya valimai,your strength,आपकी ताकत
kanni azhagiya piravi,beautiful birth,सुंदर जन्म
intha vazhkkaiyin perumai,greatness of this life,इस जीवन की महानता
nee enna venum,what do you need?,आपको क्या चाहिए?
ithu enna thunai,what is the support?,समर्थन क्या है?
enna seyyal?,what to do?,क्या करना है?
ugandha varaikkum,until you feel,जब तक आप महसूस करते हैं
ithu enna badhil,what is the answer?,उत्तर क्या है?
kalaiyil,in art,कला में
manal muthu,sand pearl,रेत का मोती
puthu vilaiyadu,new game,नया खेल
maanga,mango,आम
pazham,fruit,फल
aramudhal,from the beginning,शुरुआत से
kurma,curry,करी
maadhu,food,खाना
vaasai manai,home place,घर का स्थान
katru thodai,to go through the breeze,बreeze के माध्यम से जाना
thuyilmanai,sleeping place,सोने का स्थान
poovizhi,flower garden,फूलों का बाग
kothai,corner,कोना
vilayaatu marai,fun and joy,मज़ा और खुशी
idha thodanginaal,by starting this,इससे शुरू करना
pazha manidha,old person,पुराना व्यक्ति
nanban ennum,what is friendship?,दोस्ती क्या है?
koluthudhal,to arrange,व्यवस्थित करना
pazhaiyil,in the past,अतीत में
vazhangum aanandham,joy of living,जीने का आनंद
suthikkanum,must be fresh,ताज़ा होना चाहिए
kooduthal thunai,extra support,अतिरिक्त समर्थन
oru ilam sollai,a young saying,एक युवा कहावत
pathu nadakkum,will happen in ten,दस में होगा
kalaiyil marai,in the art,कला में
seidhigal thodangum,starting news,शुरुआती समाचार
valarchi thodangum,growth will start,विकास शुरू होगा
kalaiyil payan,use in art,कला में उपयोग करें
enna mudhal nadakkum,what will start first?,पहले क्या शुरू होगा?
sivaji amman,Goddess Sivaji,गॉडेस शिवाजी
vazhaiyil sadhikkum,will succeed in life,जीवन में सफल होगा
kooduthal enna vaithu,keeping more,अधिक रखना
thodangidum,to start,शुरू करना
thangal kaiyil,in your hands,आपके हाथों में
adiyirukkum,to be present,उपस्थित रहना
anbu tharum,to give love,प्रेम देना
sandarbu paadum,to sing joyfully,खुशी से गाना
ithu enna badhil aagum?,what will be the answer?,उत्तर क्या होगा?
unga yaaru?,who are you?,आप कौन हैं?
neenga enga poitenga?,where did you go?,आप कहाँ गए थे?
idha pathi enna ninaikireenga?,what do you think about this?,आप इसके बारे में क्या सोचते हैं?
yenna thonuthu?,what do you feel?,आप क्या महसूस करते हैं?
thottil,swing,झूला
solai,garden,बाग़
mudi,cap,टोपी
naal,day,दिन
vaarthaiyin kaditham,letter of the word,शब्द का पत्र
udaiyam,clothing,कपड़े
kanni,virgin,कुमारी
kadalai urundai,peanut ball,मूंगफली का लड्डू
tiffin,snack,नाश्ता
sakkarai pongal,sweet rice dish,मीठा चावल का व्यंजन
idli maavu,idli batter,इडली का बैटर
sappida,to eat,खाना
idathil,at the place,स्थान पर
sivappu vaaram,red line,लाल रेखा
thenkanni,southern side,दक्षिणी दिशा
ozhukum,to cry,रोना
karpikkum,to learn,सीखना
vidai,seed,बीज
sadhana,effort,प्रयास
kalaiyil sadhikkanum,must achieve in art,कला में प्राप्त करना चाहिए
athu namma varai,that belongs to us,वह हमारे लिए है
inbam,happiness,खुशी
vidaiyadhu,to stop,रोकना
oru naal,one day,एक दिन
sangathil,in the meeting,बैठक में
pudhiya alai,new wave,नई लहर
aadiya kathai,beginning story,शुरुआती कहानी
varuvai,to come,आना
nee enna nadakum,what will you do?,आप क्या करेंगे?
nadaikalam,a way to walk,चलने का एक रास्ता
thogaiya,to stop,रोकना
perumai enbadhu,greatness is,महानता है
vittudhal,to release,रिहाई
karuppu paadhi,black half,काला आधा
oru kural,one voice,एक आवाज
iniyum varai,until now,अब तक
anbu udaiya uravugal,relationships of love,प्रेम के संबंध
ninaivugal,thoughts,विचार
kangalil vaazhkai,life in eyes,आँखों में जीवन
thodangudhal,to initiate,शुरू करना
iniyum paaru,look again,फिर से देखो
anbu udaiya moochi,a face of love,प्रेम का चेहरा
neenga enna seyyum?,what will you do?,आप क्या करेंगे?
ithu enna thonuthu?,what do you feel about this?,आप इस बारे में क्या महसूस करते हैं?
unmai enna?,what is the truth?,सच क्या है?
apdiya enna solreenga?,what do you mean by that?,आपका क्या मतलब है?
ithai eppadi paakalam?,how can we see this?,हम इसे कैसे देख सकते हैं?
anupavikkanum,to experience,अनुभव करना
idam,place,स्थान
puthuvaru,new arrival,नया आगमन
karuththu,opinion,राय
moondru thagaval,three pieces of information,तीन टुकड़े जानकारी
thiruthikal,errors,गलतियाँ
kaaram,spice,मसाला
sutham,clean,साफ
thiruvizha,festival,उत्सव
adirasam,sweet rice,मीठा चावल
thenpakkam,southern direction,दक्षिण दिशा
